time,f0,confidence,loudness
0.0,660.0596818095586,0.124020964,-11.987926690871976
0.01,657.351966152668,0.09461701,-11.81754034964326
0.02,659.7796691595452,0.06700432,-12.294243674048417
0.03,626.0908402346757,0.09982473,-12.642267552122691
0.04,633.8500197961744,0.11496928,-12.626635839665662
0.05,646.4082545634674,0.13860461,-12.607624116120213
0.06,657.6584358854773,0.115144044,-12.59889138227832
0.07,656.3123694781541,0.09036735,-12.569886086760352
0.08,657.3460496703051,0.0931654,-12.623879115453434
0.09,641.4572162822149,0.09256065,-12.611381610751005
0.1,646.5015188300542,0.12234044,-12.632418984119338
0.11,658.211285125685,0.087821096,-12.609800181333465
0.12,659.5290477953715,0.058582842,-12.652888723999842
0.13,660.0159847240875,0.07969171,-12.601245777667875
0.14,636.1420377709933,0.08981487,-12.594519833125572
0.15,648.1199028180384,0.08420503,-12.593948204578277
0.16,646.9178952575,0.13653997,-12.558389284817038
0.17,649.2507690847686,0.096170425,-12.521969424852365
0.18,599.840242578327,0.08253431,-12.495709214823856
0.19,624.201217363211,0.089957625,-12.510549285923416
0.2,626.8448549574166,0.09165734,-12.523129351577962
0.21,645.0980467707751,0.1240333,-12.49458509736221
0.22,651.039449883989,0.12605894,-12.5076279515201
0.23,649.724558156488,0.100696445,-12.516562606273482
0.24,625.4356611182304,0.11217621,-12.471815378668685
0.25,635.1587984040178,0.11907169,-12.515418745282073
0.26,645.6524231905382,0.13612783,-12.550593837909435
0.27,650.9780288256813,0.13258302,-12.57023830347221
0.28,657.0374238688111,0.09658781,-12.531304153570169
0.29,623.858363002224,0.08354443,-12.546687097494049
0.3,633.0464381617284,0.103651345,-12.544450919238386
0.31,644.9989216676813,0.12236667,-12.592640885495411
0.32,645.6427807437229,0.118816465,-12.599840058730724
0.33,657.0550975408196,0.10717511,-12.624801872317237
0.34,657.2739823985612,0.12550673,-12.593341884405001
0.35,660.607111566057,0.09305611,-12.610670736385773
0.36,660.359383823941,0.121228874,-12.59573348130671
0.37,643.0856776661963,0.13437232,-12.554951315205125
0.38,646.0443325086397,0.09964734,-12.618567689587284
0.39,659.2410828579893,0.056283742,-12.615828417353368
0.4,626.6174009953651,0.10393849,-12.591127018335243
0.41,633.9920939413973,0.11111194,-12.57116526010836
0.42,645.0652585830226,0.11162844,-12.601774968522205
0.43,645.0130529138871,0.15213066,-12.618606352074698
0.44,649.9578645841946,0.0917272,-12.609606843295474
0.45,598.8639602431847,0.08093318,-12.5971820477333
0.46,657.1335950260061,0.08809185,-12.61747520551725
0.47,633.9601239233655,0.09854472,-12.634023659522795
0.48,657.2084076284177,0.11716306,-12.662254125987465
0.49,651.553316239146,0.132878,-12.68579065049843
0.5,658.832262769564,0.08003655,-12.654972494959685
0.51,659.3321673375466,0.08368784,-12.599729495574643
0.52,645.0975504195638,0.11248407,-12.593779631245281
0.53,644.7498977372452,0.14831218,-12.64155425941348
0.54,651.0339833213817,0.13481009,-12.662761757507411
0.55,651.4724677333713,0.108537614,-12.653076364386227
0.56,656.476595991753,0.08121419,-12.654597961745464
0.57,633.6867407549789,0.09462434,-12.678344325004408
0.58,634.6846432753874,0.12751102,-12.655266418012758
0.59,649.9210158820483,0.1055235,-12.699964767708138
0.6,650.7713314484549,0.1002267,-12.694391814978237
0.61,623.4454216790932,0.092980415,-12.652927913232402
0.62,625.3833883999697,0.099836975,-12.633415197543835
0.63,645.5587625774,0.11110109,-12.671007072114216
0.64,645.9358776765349,0.15691283,-12.64763747198102
0.65,653.7914963866476,0.11620781,-12.633987471115152
0.66,656.6976534787668,0.0891287,-12.658178801393944
0.67,660.5693640887182,0.0878582,-12.639858886496903
0.68,640.5759395605705,0.12196073,-12.662414143902353
0.69,645.2589190381564,0.116065145,-12.711193826288566
0.7,658.3134256040751,0.1059334,-12.717189678527086
0.71,657.9901345852971,0.10244164,-12.684146352586621
0.72,657.9359945779659,0.07152638,-12.67702370120534
0.73,624.7490535799673,0.08430022,-12.650881529147886
0.74,634.7240832101345,0.093630016,-12.655634002615619
0.75,644.4733982089775,0.1560215,-12.652809168888155
0.76,651.7409180019841,0.13934785,-12.67085243437261
0.77,631.8422727191899,0.08538321,-12.653977065438031
0.78,625.1200233712974,0.09318885,-12.663420799624483
0.79,627.3517541419887,0.09878388,-12.656046371564486
0.8,644.7779540039805,0.12791613,-12.679496476027877
0.81,652.6678920809185,0.11645359,-12.676914433650708
0.82,650.572150533573,0.08718169,-12.660800169919902
0.83,658.0437335616641,0.08570954,-12.641788220553718
0.84,634.5607683721181,0.09762329,-12.654296881661036
0.85,644.8899875431972,0.13862261,-12.642168617571127
0.86,645.1822074864447,0.12964454,-12.67820819452681
0.87,657.6688197692164,0.11336365,-12.678240339002812
0.88,624.6043701316042,0.087029636,-12.676492657911341
0.89,627.1543460295261,0.11889595,-12.663564096109567
0.9,634.806824392304,0.0893037,-12.708684237267766
0.91,645.576573376256,0.1399686,-12.680844505853623
0.92,651.0269716107392,0.1019783,-12.697424249288366
0.93,598.9720775464111,0.07743356,-12.672395410249727
0.94,624.7864401863853,0.111032784,-12.656026958840503
0.95,633.4791745016937,0.104872674,-12.682080999542881
0.96,644.9303496013079,0.14524165,-12.664730258659473
0.97,653.3415577593395,0.124676436,-12.673758815222614
0.98,650.9978281451946,0.098296136,-12.690667979618253
0.99,597.5362482524022,0.08993697,-12.638991090352796
1.0,633.3069154209129,0.0851841,-12.656733984702825
1.01,645.5161259944468,0.12088677,-12.653442287476905
1.02,650.8316537973383,0.12629011,-12.64715025102496
1.03,651.4338360656172,0.09399116,-12.627236139660782
1.04,656.1901789274219,0.097800314,-12.624753113577132
1.05,625.7823172850303,0.11368856,-12.651452004388918
1.06,635.1165275588432,0.10039529,-12.629766903188024
1.07,651.8909867964508,0.121977,-12.6489859180071
1.08,651.5627651800528,0.09286812,-12.627155304960942
1.09,623.7850032856919,0.09382793,-12.645752183150808
1.1,625.8551949200007,0.10649115,-12.641984128525925
1.11,641.3402480073506,0.10391471,-12.627026229190971
1.12,646.9946260086209,0.13635486,-12.643809679749388
1.13,653.2545931780655,0.11989653,-12.621580327635712
1.14,658.6447301014682,0.10590339,-12.618617644458135
1.15,624.5602077067483,0.10617256,-12.638624413117984
1.16,635.6171030833966,0.10603827,-12.641691646186171
