time,f0,confidence,loudness
0.0,495.27487943499636,0.8329549,-4.65352175059875
0.01,494.70593174114066,0.95044595,-4.533220263374619
0.02,495.1502227648148,0.9708359,-4.545731096726878
0.03,495.68834514783254,0.9750352,-4.652470872443864
0.04,496.0124891449905,0.9734826,-4.827796890837984
0.05,495.9793634043183,0.9735111,-5.013960254070021
0.06,495.91102094584176,0.9735675,-5.121462218494645
0.07,495.9608438455492,0.97354066,-5.109393885543038
0.08,495.89995944147836,0.97372437,-5.066660128175271
0.09,495.7365616922309,0.97462136,-5.0456615370506235
0.1,495.5634791065373,0.97491693,-5.028904329278815
0.11,495.51945001179547,0.97553027,-5.005301223286736
0.12,495.2629685067985,0.97683895,-4.98427785020809
0.13,495.16542496938393,0.97558105,-4.954669954043848
0.14,494.90738865606704,0.97536254,-4.9611116742756245
0.15,494.54415155512254,0.974103,-4.947649358392502
0.16,494.5316340556311,0.9739784,-4.9251907651838405
0.17,494.8364836368586,0.9738231,-4.923775643906546
0.18,495.2100813744124,0.9723648,-4.955435581770943
0.19,495.35134195052046,0.9718711,-4.998966437529467
0.2,495.34725393158885,0.97314525,-5.066317307973248
0.21,495.2209439463044,0.9735203,-5.105808039118935
0.22,495.24185153028037,0.9738276,-5.10526996297545
0.23,495.25921724145053,0.97497165,-5.079639058404183
0.24,495.1988489564791,0.9758086,-5.050017004711203
0.25,495.1065948179133,0.9766463,-5.0155300984943825
0.26,494.91884493505313,0.976199,-4.982764952941788
0.27,495.3930240825823,0.97599274,-5.0000208156829515
0.28,495.8571363188761,0.9739976,-5.030137243438388
0.29,496.3587799498833,0.9717487,-5.034026595690596
0.3,496.6302950470228,0.97062886,-5.029230719699696
0.31,497.1527176084171,0.96858156,-5.028094957300406
0.32,497.4500387919476,0.96548223,-5.011734340056744
0.33,497.995029112815,0.95713204,-5.025795232588529
0.34,498.5619964399324,0.9460404,-5.074671521099025
0.35,499.0267136617998,0.93520176,-5.140434510904389
0.36,499.4909094685794,0.9388467,-5.128084225502287
0.37,499.4289593756878,0.93732953,-5.1004981349084835
0.38,499.2137758712818,0.93229556,-5.031448743768004
0.39,498.84220870206013,0.9397811,-5.000696727272182
0.4,498.11736247964325,0.95223093,-5.0009062820530925
0.41,497.1810010069929,0.96161664,-5.015476673096735
0.42,495.8407067867003,0.970052,-5.071134472638586
0.43,495.0194884120694,0.97280145,-5.131585125058494
0.44,494.7643914214792,0.974422,-5.168917595548205
0.45,495.09815095516433,0.97583735,-5.1503561492612855
0.46,495.6185009618405,0.97687304,-5.132408105055338
0.47,496.8029221632142,0.9717346,-5.132888484662957
0.48,497.6494688944973,0.9609267,-5.128433718440999
0.49,498.53462270395875,0.94284225,-5.111599451179334
0.5,499.70360694970253,0.93185496,-5.134087848181531
0.51,500.63354523893327,0.9436637,-5.198794260912156
0.52,501.2261917453385,0.9504103,-5.25201891427393
0.53,500.89928191858985,0.95045006,-5.249902695090636
0.54,500.78795462907266,0.9482577,-5.222258142494905
0.55,500.5894102819568,0.9452071,-5.197471131179358
0.56,500.1344727827959,0.9393045,-5.201631040240901
0.57,498.9701883139691,0.93106234,-5.224995698815134
0.58,497.71933373889317,0.95625746,-5.280184271179652
0.59,496.84981938468474,0.9649527,-5.341435209033297
0.6,496.3847594291355,0.96901727,-5.40096278011832
0.61,496.4194575316426,0.9684614,-5.416492250388501
0.62,496.4119867552418,0.9665514,-5.3904608010158706
0.63,496.7935648466866,0.96606696,-5.331764565654794
0.64,496.74149485731226,0.96900284,-5.299803178223499
0.65,497.1558924330798,0.9668663,-5.259007284396273
0.66,498.37478425841795,0.94574225,-5.2664713944316315
0.67,499.672492861067,0.9216435,-5.29921584672657
0.68,499.5340665563742,0.92853606,-5.353961885775338
0.69,498.44646570288097,0.9470116,-5.413346022356905
0.7,497.6876871971081,0.9586215,-5.441093183567215
0.71,498.3952139537987,0.943342,-5.465459954571764
0.72,499.34848411855364,0.9246521,-5.470427744883193
0.73,499.07585075447827,0.9337065,-5.475373717359621
0.74,498.38617267007663,0.9498066,-5.4904060909118995
0.75,498.25476590045747,0.9493427,-5.4839144767115435
0.76,498.9133798167754,0.9324863,-5.479278769818715
0.77,500.48542533371864,0.9413829,-5.479076554939119
0.78,500.53518348297655,0.94578874,-5.473183642331296
0.79,499.9310350298913,0.9472259,-5.480585783808028
0.8,498.77834230261146,0.9417604,-5.473546700695997
0.81,498.6111225069073,0.9486668,-5.460882910228688
0.82,499.38069195474293,0.9361204,-5.412298279016996
0.83,499.91956105526856,0.94516546,-5.2987439131303935
0.84,499.54422410256507,0.94532794,-5.099521366458081
0.85,498.7821768491749,0.95030344,-4.870800670336172
0.86,498.0789235600403,0.96232855,-4.668725247203318
0.87,498.15817728573955,0.9514503,-4.479149893110086
0.88,499.6173746401696,0.9086069,-4.3108130421279265
0.89,500.57618212161276,0.8841964,-4.1557891308928445
0.9,498.5244823022336,0.87106454,-4.08364535763166
0.91,470.9400870188372,0.8792643,-4.0635597962016
0.92,400.31605793543946,0.86138284,-4.090388818575264
0.93,375.2065193569397,0.89845884,-4.163573188694843
0.94,375.8123016957785,0.935961,-4.2732422744999425
0.95,375.27202958605255,0.94208676,-4.402902717431656
0.96,374.2600895497765,0.92449695,-4.560471906618705
0.97,372.89377815950775,0.91977584,-4.721904034300516
0.98,372.67467713654196,0.92814624,-4.843872212967826
0.99,372.731410685835,0.927868,-4.957477361767361
1.0,372.7793338480658,0.9315897,-5.039368065496011
1.01,372.5325594763063,0.9367215,-5.073123204314094
1.02,372.60489088784595,0.9388236,-5.020308781420552
1.03,373.2162717487448,0.9230197,-4.968849748433785
1.04,374.0712168202143,0.9335791,-4.916191823444683
1.05,374.7413662920866,0.94570315,-4.892695020579314
1.06,375.64890739768515,0.96023077,-4.8519811790019585
1.07,376.0919463178723,0.9616784,-4.825647677970336
1.08,376.4339482872772,0.95934033,-4.831804810439272
1.09,376.9975118904248,0.94887245,-4.870612977349144
1.1,377.4812087955372,0.93678415,-4.860231764629451
1.11,377.49317682053515,0.9340624,-4.7885834817446264
1.12,377.1388648453943,0.94386923,-4.720816706292117
1.13,375.9487411770101,0.949278,-4.683533642535861
1.14,374.78239348779476,0.9487862,-4.663819730297607
1.15,373.44731119494065,0.92478216,-4.651489957041642
1.16,372.6988762900356,0.9447337,-4.686867324034673
1.17,371.9197454869724,0.95406055,-4.741459143273409
1.18,371.517522170127,0.9570434,-4.786501968299802
1.19,371.4938665395473,0.949104,-4.7888055294937155
1.2,372.0374839380685,0.93965113,-4.764287730274008
1.21,372.8260341887874,0.922385,-4.733961117558694
1.22,373.6241798509766,0.9132577,-4.724999705472974
1.23,374.35622407645127,0.9426434,-4.757923345246297
1.24,374.83917117756755,0.95335186,-4.807613614342597
1.25,376.01831768776043,0.95552105,-4.857451585284425
1.26,377.02291102914023,0.9526659,-4.928398286947721
1.27,377.22582434863773,0.9477709,-5.034844925945456
1.28,376.8028761876971,0.95087004,-5.09371867158824
1.29,376.35233912484205,0.9499562,-5.054404381011467
1.3,375.8695531509794,0.95620096,-5.024003054318236
1.31,375.04431917005826,0.94864273,-5.005656347240584
1.32,373.73998623146963,0.9187672,-5.028567432795028
1.33,372.4544855319104,0.94014025,-5.076372148391282
1.34,371.74851519590675,0.94803214,-5.1227710691860935
1.35,371.6971409342249,0.93919206,-5.193015597851869
1.36,372.2584688784992,0.93524605,-5.1961167935158095
1.37,372.8633917494518,0.91595036,-5.158866128369406
1.38,373.25492390103693,0.91049004,-5.134718771282824
1.39,374.10442790512576,0.93073344,-5.1236358354866365
1.4,374.6730815133417,0.94489133,-5.158666426753275
1.41,376.1486088444173,0.9505489,-5.211794916551619
1.42,376.9148009489004,0.94648004,-5.271525672804895
1.43,377.21050460776956,0.9317212,-5.365021112023661
1.44,376.645270605713,0.9330523,-5.453294997317366
1.45,376.9215162488106,0.9405563,-5.489979472204284
1.46,377.0951944258389,0.93870884,-5.462723616734478
1.47,376.7592864949328,0.9334502,-5.396830684942774
1.48,375.4215188435905,0.9391608,-5.363760412306651
1.49,373.639824132802,0.8993375,-5.327063040241203
1.5,372.7107063754665,0.9323478,-5.325258553482741
1.51,372.4411139590222,0.9318019,-5.342376374450002
1.52,372.52078068732095,0.9276713,-5.351610068127435
1.53,372.9945540044271,0.91333795,-5.3025606692422125
1.54,372.8621204185776,0.9183125,-5.283142490946996
1.55,373.4888984591382,0.89337766,-5.262326905887632
1.56,374.6456063829471,0.9281982,-5.303823477419015
1.57,375.77477479096876,0.93659186,-5.364253869173335
1.58,376.423620980117,0.9248875,-5.432644767619819
1.59,376.4621547323523,0.9352397,-5.5159625179741845
1.6,375.5997527308905,0.9266607,-5.544071644225102
1.61,375.2024177430812,0.9205767,-5.487596506854714
1.62,374.9413459859093,0.9162524,-5.438549154121305
1.63,375.63276551495244,0.9334091,-5.3945348809864955
1.64,374.9644494269058,0.928352,-5.38263941219155
1.65,374.3270913480291,0.91591775,-5.3675820276021815
1.66,373.6432894178896,0.9096984,-5.384405841308
1.67,373.72481804631855,0.91271317,-5.415638766994167
1.68,374.1045635583842,0.916649,-5.451192847966752
1.69,375.0899643492354,0.93319416,-5.462031518959022
1.7,374.72052742722263,0.92321426,-5.485065822270916
1.71,374.2069953098802,0.9295944,-5.502299359819115
1.72,373.87412597229405,0.9185589,-5.468219923217453
1.73,374.48667854891306,0.92199874,-5.378814744608035
1.74,375.1057639672751,0.9223802,-5.226702517587568
1.75,375.8960010051299,0.9190487,-5.055730189267059
1.76,375.39205626814874,0.83565605,-4.8541618069459975
1.77,372.03369231911034,0.72051954,-4.663814920525329
1.78,372.0905877316641,0.6834103,-4.534464048563675
1.79,376.3199476378952,0.81793606,-4.474082832451695
1.8,377.25447855298626,0.9140698,-4.457913162843939
1.81,376.8517359702047,0.9472637,-4.491100543685952
1.82,376.47968697930907,0.95738643,-4.567598292460859
1.83,376.5799416409033,0.9633839,-4.613296602514063
1.84,376.8140220780589,0.9611809,-4.617003966476645
1.85,377.16496666230694,0.96160305,-4.597761016726461
1.86,376.7071095702595,0.9656631,-4.56356983439303
1.87,375.9064745788347,0.96349573,-4.537458420999725
1.88,374.6392125191726,0.95914704,-4.535217688591891
1.89,373.83399166492063,0.94562745,-4.55206286038237
1.9,373.09836211451284,0.94396627,-4.575388847299978
1.91,372.3871747392761,0.95258,-4.607574456020067
1.92,371.51121090948857,0.9566489,-4.622012426905301
1.93,371.21610323339803,0.96031344,-4.662194827334469
1.94,371.4741897625242,0.9620043,-4.608363593128364
1.95,372.16897259808763,0.95698595,-4.550055651043578
1.96,373.1480300729902,0.935774,-4.507363409044143
1.97,373.8990070107338,0.9385535,-4.513394683083714
1.98,374.2650031583099,0.94884247,-4.545430603382145
1.99,374.98720007297726,0.9633977,-4.584796469187377
2.0,376.1461974949495,0.9628879,-4.630714203052372
2.01,376.9770657501368,0.95758617,-4.690669154324559
2.02,377.28741791269834,0.9518534,-4.746541073990453
2.03,377.2177958598516,0.9510648,-4.712780217475862
2.04,376.60489065266313,0.9610937,-4.623125272392649
2.05,375.82245556500925,0.9593065,-4.534429983493363
2.06,375.03265088746565,0.95195836,-4.486048142572333
2.07,374.2732515305877,0.9330061,-4.482063792668978
2.08,372.45601325368955,0.9465852,-4.511252219386548
2.09,370.9312102278522,0.95638025,-4.5890663426245535
2.1,370.25426710564744,0.9511969,-4.683200318468384
2.11,370.75931684761827,0.95602447,-4.705050362320266
2.12,371.89470208364605,0.95641583,-4.659342999891141
2.13,372.75738075446566,0.942708,-4.623898491158776
2.14,373.4178698093924,0.93110406,-4.582792511282865
2.15,373.97767153186794,0.94798833,-4.592862206489724
