time,f0,confidence,loudness
0.0,624.3944420615369,0.08453718,-6.1475925882563764
0.01,626.4319589644264,0.10102266,-5.916046154237706
0.02,634.7776646318063,0.118734,-5.831887563285635
0.03,646.0809426620442,0.09677851,-5.8166509447013865
0.04,651.2681211357742,0.118148446,-5.801960186406211
0.05,625.0764574952807,0.09865096,-5.801102781819465
0.06,627.3505245028614,0.11901769,-5.771606134347404
0.07,634.7698281074465,0.06985405,-5.754573681528398
0.08,645.7087044559411,0.14155087,-5.753316072523925
0.09,652.999442129592,0.13038829,-5.762852185314353
0.1,657.5661966798034,0.10467455,-5.751744762817501
0.11,659.8913282838625,0.11661619,-5.730880913138721
0.12,659.1000797745177,0.108854175,-5.730615755239969
0.13,660.1898388199635,0.09366721,-5.711782185704574
0.14,658.8677738500809,0.09434837,-5.698864537844901
0.15,625.0673739723795,0.110443175,-5.690804938339936
0.16,626.1710026284685,0.09257698,-5.6993391360382155
0.17,626.2080460673419,0.09467614,-5.71322160569666
0.18,634.3305761027601,0.08111158,-5.731087255783528
0.19,651.6373460934517,0.13325205,-5.752039993201237
0.2,659.2288613742146,0.12531608,-5.782072015172429
0.21,661.3330340251763,0.091679305,-5.788786415258163
0.22,647.979869177543,0.08878696,-5.780980780277641
0.23,636.7168654396132,0.088770896,-5.790384899450842
0.24,635.733522936086,0.09999588,-5.805188727113863
0.25,644.7395873689734,0.10131517,-5.822315484489214
0.26,657.7876789586139,0.08225104,-5.800274639784167
0.27,625.230572673279,0.0974676,-5.790141745457166
0.28,627.1971731146708,0.08718401,-5.7729094515344395
0.29,633.8113924653871,0.1097672,-5.766327323990228
0.3,652.025010378894,0.13200867,-5.770946816446182
0.31,652.7021910445446,0.12685466,-5.789373152267246
0.32,659.9832603577895,0.09091827,-5.810022129416796
0.33,659.3336078194301,0.07339117,-5.813573972248781
0.34,636.6193951782484,0.13023031,-5.805305324226222
0.35,634.7062672080002,0.11049637,-5.798937312343103
0.36,649.8957697850565,0.10767084,-5.790920687347255
0.37,625.3847861759788,0.0778746,-5.776306921142235
0.38,626.1202093757923,0.112591594,-5.7719605768166335
0.39,634.2082058951084,0.0670954,-5.761539504422978
0.4,644.749855518927,0.11405453,-5.761446430378175
0.41,653.2192932432456,0.13156477,-5.7811855428941765
0.42,652.4032951345822,0.08119249,-5.798706418214379
0.43,659.8049490887764,0.064661086,-5.801057906449172
0.44,624.6658597245282,0.09777588,-5.7787901460743845
0.45,634.6792405904429,0.08684814,-5.785412045572193
0.46,645.3362301788059,0.10863039,-5.80017496343826
0.47,659.3965435945895,0.0919615,-5.819234679381626
0.48,626.2852348316179,0.12039697,-5.824127113726775
0.49,635.0284401952977,0.112975985,-5.843272390258716
0.5,652.5862860432704,0.17781979,-5.837328012040807
0.51,659.1890983691713,0.11188069,-5.787692923771503
0.52,596.3196977745531,0.11399531,-5.7171147045968915
0.53,632.4957968462198,0.09761903,-5.662808772445783
0.54,625.438214884683,0.10537091,-5.644775959197763
0.55,626.6323882722041,0.099936545,-5.663701220358622
0.56,645.2852440678655,0.09856182,-5.702279782593581
0.57,651.0382594823845,0.14019954,-5.746760568898957
0.58,652.6607500612756,0.133095,-5.775354805241966
0.59,657.3266952586681,0.10032827,-5.79329351667257
0.6,633.2989939424709,0.06960347,-5.834142560079662
0.61,635.3160907945985,0.10180926,-5.846362385114123
0.62,635.0319650171514,0.082918346,-5.8501931751577265
0.63,656.6930219771108,0.08359188,-5.842608954448856
0.64,638.4321540494127,0.07624805,-5.830771150187716
0.65,626.6444697698128,0.098340005,-5.836765632876867
0.66,634.1158252689382,0.06367296,-5.821947660827204
0.67,645.7893896733684,0.12830254,-5.819697163012664
0.68,659.6168374945569,0.097197175,-5.826648935277982
0.69,659.8556565249577,0.105906755,-5.803581570795182
0.7,649.7319998185627,0.07591826,-5.7966773703406895
0.71,633.8353297861318,0.042741686,-5.806666732176379
0.72,636.3700253410212,0.04066357,-5.791668577092781
0.73,635.1671099709674,0.06552458,-5.785001630478121
0.74,658.1619562741979,0.075360864,-5.765910196144738
0.75,626.1869487577819,0.0855864,-5.7668430675969296
0.76,633.7134366160128,0.09712726,-5.76747176664392
0.77,635.0213346965718,0.11409259,-5.752999408612495
0.78,652.1575823003224,0.12529057,-5.724603373495875
0.79,591.6289093442895,0.08455151,-5.689061567972677
0.8,598.8163040259221,0.100094646,-5.661037800799387
0.81,623.4006166104251,0.100640595,-5.650006757135403
0.82,627.1734436703427,0.12032834,-5.6717456811722045
0.83,634.7584777929044,0.094561845,-5.702264829481852
0.84,650.1818505917407,0.14447206,-5.742554901555148
0.85,657.5898019378069,0.11644393,-5.78024789528182
0.86,625.3097480948416,0.109893024,-5.799281916197084
0.87,634.5014958427118,0.08685735,-5.81413534793945
0.88,646.3663408891184,0.14931497,-5.834582770845116
0.89,660.0200072892792,0.07695177,-5.833342310070596
0.9,597.4500718418682,0.07349673,-5.7986816252416995
0.91,624.0754044955498,0.09566972,-5.775606815594512
0.92,625.78946847691,0.10504466,-5.749225127232115
0.93,634.6380649661211,0.10088009,-5.741180660085312
0.94,645.8043793046339,0.12903461,-5.704025303503694
0.95,652.4030900233461,0.15082926,-5.707427412002883
0.96,631.9593804980288,0.09342399,-5.712786658392051
0.97,633.4814901976198,0.11601594,-5.7138687688733425
0.98,641.6137754777401,0.13086963,-5.718704004629687
0.99,646.2034131775845,0.12146646,-5.729587620332509
1.0,651.1303840107023,0.1002866,-5.739751401311345
1.01,657.1127426361616,0.086186886,-5.763585505674856
1.02,624.3999895864526,0.09991735,-5.762746487863511
1.03,634.7143488064669,0.109868795,-5.769244065059725
1.04,645.0654303264423,0.13590857,-5.808882030401619
1.05,650.8357414637474,0.13894221,-5.833611759271168
1.06,651.1321383127702,0.09255928,-5.861559058878811
1.07,598.6404980725747,0.08636168,-5.863089279329236
1.08,624.46693227951,0.08647275,-5.854452876928707
1.09,634.6022149057248,0.105650514,-5.830985477261758
1.1,644.9074049573143,0.12186217,-5.802139858185849
1.11,650.2637023194342,0.12662527,-5.7705649247332715
1.12,625.9395654403897,0.0834856,-5.752867916059534
1.13,626.3605163591541,0.11275306,-5.748072155678022
1.14,634.4625129221847,0.048592597,-5.740459586672998
1.15,645.4479786820859,0.10495499,-5.763023807297723
1.16,660.2176825465745,0.092140585,-5.791758696260489
1.17,588.6485318095347,0.07768598,-5.794831602869477
1.18,605.8752481730459,0.03888467,-5.790101823836169
1.19,625.8691320757486,0.043705106,-5.793207992399215
1.2,634.5815015669625,0.08224288,-5.778592928404819
1.21,634.8465027687048,0.07972303,-5.772056532078186
1.22,651.0353116982133,0.12230712,-5.765934995571255
1.23,626.6815146914483,0.08807778,-5.7686411064721135
1.24,627.4765058695781,0.10140729,-5.778507409292354
1.25,635.5059585028614,0.06667307,-5.751073377954465
1.26,646.4270047947448,0.14396569,-5.739849472140724
1.27,654.6232814414258,0.09893957,-5.739886927337876
1.28,653.0788761055805,0.08702806,-5.742186577938284
1.29,658.504621886992,0.0756385,-5.7455222802939625
1.3,633.6324917181304,0.09231761,-5.767383074368251
1.31,645.4272109510491,0.10962728,-5.770952167949721
1.32,645.5559528167212,0.11678451,-5.781891999488527
1.33,650.0191455124628,0.10232583,-5.78136441020737
1.34,632.2613620003319,0.102482855,-5.787191778356314
1.35,626.6045922020636,0.10698971,-5.791946545897791
1.36,634.7885700414276,0.09626225,-5.791337278165799
1.37,645.4376421106805,0.14229569,-5.768840281600236
1.38,657.407701206257,0.1250517,-5.741905348919118
1.39,625.3250448670357,0.097943634,-5.718920922626919
1.4,627.0907016767973,0.04379219,-5.712075131681238
1.41,629.62001630318,0.016068637,-5.727459985178023
1.42,631.2622977543037,0.66392666,-5.740571128261131
1.43,627.2233649697623,0.8841994,-5.75554639870652
1.44,627.5546052298016,0.77075577,-5.750480344922772
1.45,637.1898883873282,0.23045772,-5.763243525519208
1.46,640.5959422786993,0.015075594,-5.755705157057145
1.47,643.8809571489741,0.018913448,-5.754585319103596
1.48,650.327651137611,0.07625535,-5.767907965299891
1.49,658.4618435838025,0.081552684,-5.782031751798751
1.5,599.3080371636752,0.060343444,-5.798433628918525
1.51,624.0122016819347,0.07006264,-5.78429555982021
